binding_id,dashboard_section,source_artifact,source_fields,display_fields,allowed_transformations,prohibited_transformations,refresh_behavior,required_for_mvp,created_timestamp
DB-001,Executive Summary,outputs/model_lab/model_lab_closure_pack/model_lab_key_results.csv,"metric_name,metric_value,metric_context",key KPIs,"filtering, sorting, renaming labels","recomputing KPIs, changing champion decision, hiding risks",read_only_file_load,True,2026-06-14T10:49:31
DB-002,Champion Decision,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,"selected_champion_model,decision_type,decision_confidence,official_median_mase,official_median_rmsse,supported_better_count,supported_worse_count",champion summary fields,"formatting numeric display, renaming labels","changing MASE/RMSSE, changing confidence, changing decision type",read_only_file_load,True,2026-06-14T10:49:31
DB-003,Champion Decision,outputs/model_lab/champion_decision/champion_decision.csv,"decision,selected_champion_model,selected_champion_origin,selected_champion_family,decision_confidence,conditions",official decision,renaming labels,changing champion decision or conditions,read_only_file_load,True,2026-06-14T10:49:31
DB-004,Model Universe,outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv,"model_name,model_origin,model_family,final_status,included_in_tournament,eligible_for_champion,selected_champion,deferred_reason,risk_flag",model universe,"filtering with visible counts, sorting","dropping deferred models, hiding risk flags",read_only_file_load,True,2026-06-14T10:49:31
DB-005,Tournament Standings,outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,"preliminary_position,model_name,official_median_mase,official_median_rmsse,risk_status,audit_risk_flag",standings table,"sorting, filtering, label renaming","inferring champion from rank, winner language",read_only_file_load,True,2026-06-14T10:49:31
DB-006,Baseline vs Challenger Scorecard,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,"model_name,model_origin,model_family,official_median_mase,official_median_rmsse,risk_status",scorecard,"sorting, grouping for display",recomputing metrics or creating new tournament scores,read_only_file_load,True,2026-06-14T10:49:31
DB-007,Pairwise Evidence,outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv,"model_a,model_b,median_delta_mase,bh_adjusted_p_value,comparison_status",pairwise evidence,"filtering, sorting, label renaming",declaring winner from pairwise rows,read_only_file_load,True,2026-06-14T10:49:31
DB-008,Risk Register,outputs/model_lab/model_lab_closure_pack/model_lab_risk_register_final.csv,"risk_id,risk_type,risk_level,model_name,risk_description,decision_treatment",risk register,filtering by risk level with visible totals,hiding FastNeuralAR_MLP or audit carry-forwards,read_only_file_load,True,2026-06-14T10:49:31
DB-009,Deferred Models,outputs/model_lab/model_lab_closure_pack/model_lab_deferred_models.csv,"model_name,model_family,deferred_reason,future_resolution_option",deferred model list,sorting and label renaming,dropping deferred models or saying permanently rejected,read_only_file_load,True,2026-06-14T10:49:31
DB-010,Audit Status,outputs/model_lab/audit_5/audit_5_summary.csv,"final_audit_verdict,blockers,major_findings,minor_findings,advisories,ready_for_next_stage",audit status,label renaming,hiding approve-with-conditions status,read_only_file_load,True,2026-06-14T10:49:31
DB-011,Governance Actions,outputs/governance/6_2_decision_rules/governance_recommendations.csv,"model_name,governance_primary_action,governance_secondary_action,dashboard_requirement",governance recommendations,"filtering, grouping",changing actions or eligibility,read_only_file_load,True,2026-06-14T10:49:31
DB-012,Champion Conditions,outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv,"condition_id,condition_type,condition_description,governance_action,dashboard_display_required",conditions,sorting by condition_id,hiding conditions,read_only_file_load,True,2026-06-14T10:49:31
DB-013,Language Rules,outputs/governance/6_3_champion_conditions/champion_dashboard_language.csv,"language_category,statement_text,allowed_status,replacement_statement",approved/prohibited copy,filtering by category,using prohibited language without replacement,static_artifact_load,True,2026-06-14T10:49:31
DB-014,Display Requirements,outputs/governance/6_3_champion_conditions/champion_dashboard_display_requirements.csv,"dashboard_area,required_element,required_wording_guidance,must_be_visible",required display elements,grouping by dashboard area,hiding required display elements,static_artifact_load,True,2026-06-14T10:49:31
