decision_id,decision,options,recommendation,blocks_stage,status
O1,How should SSD - MCDB scenarios be selected,A: exclude MCDB from the first release / B: expose MCDB Total with the same 2 Low Volume scenarios / C: expose MCDB Organic with a Not specified placeholder,A for the first release; MCDB adds no value to the Boon slice and its scenario column is blank,R6,OPEN
O3,Is DBType a fourth control or a separate Scenario,A: exclude byDB tables / B: add a DBType control after Granularity / C: fold DBType into the Scenario label,A for the first release; adding a fifth control complicates the cascade for a metric that is already forecast-only,R6 and R7,OPEN
O4,How many forecast versions to extract,A: N=1 latest only / B: N=3 / C: N=5,B with N=3 for true version columns; for HDD forest use the latest run per scenario because execution_time is not a version,R6,RECOMMENDED
O5,What temporal window to extract,A: 6 months back and 12 forward / B: 12 back and 24 forward / C: full history,B; it yields approximately 1.55M rows for phase 1 and keeps the Viewer meaningful,R6,RECOMMENDED
O11,Should the extraction be phased,A: single extraction of everything / B: phase 1 HDD and SSD-Phoenix then phase 2 CPU and IOPS,B; phase 1 is 1.55M rows and unblocks the Boon deliverable while phase 2 waits for R5b,R6,RECOMMENDED
O12,How to handle the HDD forest run stamp,A: expose execution_time as a version / B: use the latest run per scenario and hide the stamp / C: derive a daily version from the stamp,B for the first release; C is the long term fix but needs validation,R6 and R7,RECOMMENDED
O13,Should SSD Type Total vs TotalPerturbed be a control,A: fix to Total / B: expose as a control / C: expose both series,A for the first release; TotalPerturbed is 19.4M of 26.7M rows and its meaning is unconfirmed,R6,OPEN
O14,Is NAMPRD07 the mandatory demo key,A: yes for HDD forest and SSD-Phoenix / B: no mandatory key,A; NAMPRD07 is confirmed present in both and matches the reference portal,R6,RECOMMENDED
O15,What happens with the blank ModelVersion in hdd_region,A: drop the 46490 rows / B: bucket them as Unspecified / C: treat them as forecast,B; dropping data silently is not acceptable and C would be an invention,R6 and R7,RECOMMENDED
O9,What storage format replaces flat CSV,A: CSV / B: parquet / C: duckdb,Deferred to R5b; phase 1 at 1.55M rows may survive CSV but phase 2 at 6.02M will not,R5b,DEFERRED
