metric_id,metric_name,db_type,scenario,granularity,entity_namespace,source_table,local_source_file,forecast_version_count,row_count,key_count,namprd07_rows,unit,source_status,earth_status,evidence_level,notes
hdd_edb,HDD-EDB,EDB,Enterprise,region,region_keys,forecast_substrateBE_hdd_region,data/raw/hdd_region_forecasts.csv,1,65095,45,0,UNKNOWN_PENDING_D5,LOCAL_INGESTED,AVAILABLE,VERIFIED_LOCAL,Fact grain with target date. Local extract holds ONLY ForecastVersion 2026-05-01; source retains 48 versions per E1B.
hdd_edb,HDD-EDB,EDB,Enterprise,region,region_keys,forecast_substrateBE_hdd_region,data/raw/hdd_region_actuals.csv,1,84537,45,0,UNKNOWN_PENDING_D5,LOCAL_INGESTED,AVAILABLE,VERIFIED_LOCAL,Actuals slice (ModelVersion=actual) 2019-07-01 to 2026-04-27.
hdd_edb,HDD-EDB,EDB,not_applicable,region,region_keys,forecast_substrateBE_hdd_region_metrics,data/raw/hdd_region_metrics.csv,3,2550,45,0,UNKNOWN_PENDING_D5,LOCAL_INGESTED,AVAILABLE,VERIFIED_LOCAL,No Scenario column present. Versions 2026-03-07 / 2026-04-16 / 2026-05-01.
hdd_edb,HDD-EDB,EDB,not_applicable,forest,forest_keys,forecast_substrateBE_hdd_forest_metrics,data/raw/hdd_forest_metrics.csv,3,8828,155,57,UNKNOWN_PENDING_D5,LOCAL_INGESTED,AVAILABLE,VERIFIED_LOCAL,No Scenario column. NAMPRD07 present here and absent from region metrics.
ssd_phoenix,SSD-Phoenix,lv_with_efficiency,not_applicable,forest,forest_keys,forecast_substrateBE_ssd_phx_lvwe_metrics,data/raw/ssd_phx_lvwe_metrics.csv,1,7776,137,57,UNKNOWN_PENDING_D5,LOCAL_INGESTED,PARTIALLY_AVAILABLE,VERIFIED_LOCAL,Single version 2026-03-12. All 137 keys are a strict subset of the 155 HDD forest keys.
ssd_phoenix,SSD-Phoenix,lv_no_efficiency,not_applicable,forest,forest_keys,forecast_substrateBE_ssd_phx_lvne_metrics,data/raw/ssd_phx_lvne_metrics.csv,1,7913,137,58,UNKNOWN_PENDING_D5,LOCAL_INGESTED,PARTIALLY_AVAILABLE,VERIFIED_LOCAL,Single version 2026-03-12. Shares Key and Forecast_Version with LVWE which causes the ranking collision.
ssd_phoenix,SSD-Phoenix,phx_total,PENDING_CONFIRMATION,PENDING_CONFIRMATION,unknown,forecast_substrateBE_SSD_TotalForecast,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Table name asserted by stakeholders and not located in any repository evidence. Blocked by D2 and D10.
ssd_phoenix,SSD-Phoenix,phx_organic,PENDING_CONFIRMATION,PENDING_CONFIRMATION,unknown,forecast_substrateBE_SSD_Phoenix_Organic,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Table name asserted and not located. Blocked by D2.
ssd_mcdb,SSD-MCDB,mcdb_total,PENDING_CONFIRMATION,PENDING_CONFIRMATION,unknown,forecast_substrateBE_SSD_TotalForecast,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Claimed to be shared with SSD-Phoenix Total. Requires a discriminator column or the two metrics cannot be separated. Blocked by D10.
ssd_mcdb,SSD-MCDB,mcdb_organic,PENDING_CONFIRMATION,forest_sku,unknown,SubstrateBE_Ssd_MCDB_ForecastForestSKU,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Name implies a SKU grain below forest which the taxonomy does not yet model. Blocked by D4.
cpu,CPU,PENDING_CONFIRMATION,PENDING_CONFIRMATION,region,unknown,forecast_substrateBE_cpu_region,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,CPU family verified to exist per E1B 6.4 but exact names unverified. Blocked by D3 and D4.
cpu,CPU,PENDING_CONFIRMATION,PENDING_CONFIRMATION,region_by_db,unknown,forecast_substrateBE_cpu_byDB_region,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Carries Fleet and Workload columns absent in HDD per E1B 6.5.
cpu,CPU,PENDING_CONFIRMATION,PENDING_CONFIRMATION,forest_by_db,unknown,forecast_substrateBE_cpu_byDB_forest,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Canonical key undecided because of Fleet and Workload.
cpu,CPU,PENDING_CONFIRMATION,PENDING_CONFIRMATION,unknown,unknown,forecast_substrateBE_cpu,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,STAKEHOLDER_STATEMENT,STAKEHOLDER_STATEMENT,Base CPU forecast table asserted only.
iops,IOPS,PENDING_CONFIRMATION,PENDING_CONFIRMATION,unknown,unknown,UNNAMED_substrateBE_iops_family,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_FOUND,FAMILY_EXISTS_NAMES_UNKNOWN,VERIFIED_IN_DOCUMENT,E1B 6.4 confirms the 40 substrateBE tables span iops but no table name is documented. Currently deferred.
hdd_edb,HDD-EDB,EDB,Consumer,region,region_keys,forecast_substrateBE_hdd_region,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_INGESTED_LOCALLY,AVAILABLE,VERIFIED_IN_DOCUMENT,Consumer scenario exists in source with 47 versions per E1B but the local pipeline filters Scenario=Enterprise only.
hdd_basilisk,HDD-Basilisk,EDB,Basilisk,region,region_keys,forecast_substrateBE_hdd_region,NONE,0,0,0,0,UNKNOWN_PENDING_D5,NOT_INGESTED_LOCALLY,PHASED_OUT,VERIFIED_IN_DOCUMENT,Observed as a Scenario value with a single version. Documented as being phased out. Not in scope.
