execution_order,model,family,action,execution_status,staging_output_path,row_count,source_or_command,notes
1,FixedGrowth_1_5,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
2,FixedGrowth_3,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
3,FixedGrowth_4,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
4,FixedGrowth_6,Growth baseline,generate,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
5,ARIMA_Fixed,Statistical,train,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
6,ETS_Current,Statistical,train,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
7,AutoARIMA,Statistical,train,EXECUTION_PATH_NOT_READY,,NA,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,Clean live-fit trainer not yet implemented; legacy NBEATS challenger runner excluded. Wiring routed to the clean entrypoint; implement fit under benchmark authorization.
8,ETS Explicit,Statistical,train,EXECUTION_PATH_NOT_READY,,NA,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,Clean live-fit trainer not yet implemented; legacy NBEATS challenger runner excluded. Wiring routed to the clean entrypoint; implement fit under benchmark authorization.
9,Theta,Statistical,train,EXECUTION_PATH_NOT_READY,,NA,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,Clean live-fit trainer not yet implemented; legacy NBEATS challenger runner excluded. Wiring routed to the clean entrypoint; implement fit under benchmark authorization.
10,LinearRegression,Machine learning,train,READY_FOR_BENCHMARK_AUTHORIZATION,,NA,python python/model_lab/run_full_baseline_execution.py,Live generation/fit exists in the baseline runner; heavy full run gated behind benchmark authorization (not executed in the execution-wiring stage).
11,LightGBM,Machine learning,train,EXECUTION_PATH_NOT_READY,,NA,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,Clean live-fit trainer not yet implemented; legacy NBEATS challenger runner excluded. Wiring routed to the clean entrypoint; implement fit under benchmark authorization.
12,XGBoost,Machine learning,train,EXECUTION_PATH_NOT_READY,,NA,python python/model_lab/run_daily_clean_challengers.py --execute --allow-execute,Clean live-fit trainer not yet implemented; legacy NBEATS challenger runner excluded. Wiring routed to the clean entrypoint; implement fit under benchmark authorization.
13,FNAR-V2,Deep Learning,reuse_frozen_artifact,EXECUTED_REUSE_FROZEN,outputs/v3_3_daily_refresh/v3_3c_exec_execution_wiring/staging/dl_reuse_frozen_forecasts.csv,13620,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen V3.2B/D candidate-study output re-staged; no live training.
14,NLIN-DLIN_FIXED,Deep Learning,reuse_frozen_artifact,EXECUTED_REUSE_FROZEN,outputs/v3_3_daily_refresh/v3_3c_exec_execution_wiring/staging/dl_reuse_frozen_forecasts.csv,13620,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen V3.2B/D candidate-study output re-staged; no live training.
15,SMLP-TCN,Deep Learning,reuse_frozen_artifact,EXECUTED_REUSE_FROZEN,outputs/v3_3_daily_refresh/v3_3c_exec_execution_wiring/staging/dl_reuse_frozen_forecasts.csv,13620,outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen V3.2B/D candidate-study output re-staged; no live training.
