file_path,column_name,inferred_type,null_count,sample_values,notes
data/processed/forecast_viewer_model_outputs.csv,series_key,text_like,0,APC-Dedicated | APC-MSIT | APC-Multitenant | ARE-Go Local | AUS-Go Local,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,series_label,text_like,0,APC-Dedicated | APC-MSIT | APC-Multitenant | ARE-Go Local | AUS-Go Local,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,date,date_like,0,2025-05-03 | 2025-05-04 | 2025-05-05 | 2025-05-06 | 2025-05-07,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,actual_value,numeric_like,0,2427.007518 | 2428.8771770000003 | 2422.13321 | 2400.190447 | 2255.473239,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,model_name,text_like,0,FixedGrowth_1_5 | FixedGrowth_3 | FixedGrowth_4 | FixedGrowth_6 | FastNeuralAR_MLP,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,model_origin,text_like,0,baseline | challenger,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,model_family,text_like,0,growth_baseline | lightweight_neural | machine_learning | statistical,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,forecast_value,numeric_like,0,2428.13071863 | 2429.3441772600004 | 2430.5576358900003 | 2431.77109452 | 2432.98455315,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,forecast_type,text_like,0,backtest,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,horizon_days,integer_like,0,1 | 2 | 3 | 4 | 5,sampled first rows; null_count is sample-based for large files
data/processed/forecast_viewer_model_outputs.csv,forecast_start_date,date_like,0,2025-05-02 | 2025-06-01 | 2025-07-01 | 2025-07-31 | 2025-08-30,sampled first rows; null_count is sample-based for large files
