file_path,file_type,contains_old_root,contains_new_root,detected_reference,line_number_or_location,classification,risk_level,recommended_action,safe_to_modify_later,reason
config/backtesting.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/challenger_registry.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/execution.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/multistep_forecasting.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/ranking_policy.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/scoring_definitions.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/scoring_weights.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
config/tournament.yaml,config,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
outputs/governance/6_1_governance_foundation/governance_6_0_6_1_validation.csv,csv_historical,True,False,"old_root: 6_0_output_directory_exists,pass,C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\outputs\governance\6_0_audit5_finding_resolution,2026-06-14T10:24:31",line 2,historical_do_not_edit,low,Leave historical/audit artifact unchanged; use additive governance if needed.,false,Detected root reference in scanned text.
outputs/governance/6_1_governance_foundation/governance_6_0_6_1_validation.csv,csv_historical,True,False,"old_root: 6_1_output_directory_exists,pass,C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT\outputs\governance\6_1_governance_foundation,2026-06-14T10:24:31",line 3,historical_do_not_edit,low,Leave historical/audit artifact unchanged; use additive governance if needed.,false,Detected root reference in scanned text.
outputs/governance/audit_6/_audit_6_independent_verification.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
outputs/model_lab/audit_4/_audit_4_independent_verification.py,python_script,True,False,"old_root: ROOT = r""C:\Users\oscarau\OneDrive - Microsoft\Desktop\Forecast Generation Codebase Improvement\AEGIS-FORESCASTING-IMPROVEMENT""",line 12,historical_do_not_edit,low,Leave historical/audit artifact unchanged; use additive governance if needed.,false,Detected root reference in scanned text.
outputs/model_lab/audit_5/_audit_5_independent_verification.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/__init__.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/build_dashboard_exports.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/build_evaluation_dataset.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/discover_backtest_windows.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/discover_evaluation_sources.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/generate_baseline_metrics.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/evaluation/validate_official_metrics.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/explore/__init__.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/explore/inspect_official_metrics.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
python/explore/inspect_processed_csv.py,python_script,False,False,,file,safe_relative_path,low,No old-root reference; appears portable or relative.,false,Runtime/config file scanned with no old-root reference.
