metric_or_measure,found_status,source_file,source_column,derivable,safe_for_shiny,safe_for_governance,notes
MASE,found directly in artifact,outputs/model_lab/aggregation_hierarchy/aggregation_by_entity_model.csv; outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv; outputs/model_lab/challenger_metrics/challenger_metrics_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::official_median_mase; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::official_median_mase; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::official_median_mase; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::official_median_mase; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::mase_guardrail_status; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::official_median_mase; outputs/model_lab/tournament_engine/tournament_pairwise_evidence.csv::median_delta_mase; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_mase,not needed for direct display,true,true,Use governed artifact columns where available.
RMSSE,found directly in artifact,outputs/model_lab/aggregation_hierarchy/aggregation_by_entity_model.csv; outputs/model_lab/aggregation_hierarchy/aggregation_by_model.csv; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv; outputs/model_lab/challenger_metrics/challenger_metrics_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::official_median_rmsse; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::official_median_rmsse; outputs/model_lab/champion_decision/champion_decision_scorecard.csv::official_median_rmsse; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::official_median_rmsse; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::rmsse_guardrail_status; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::official_median_rmsse; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_rmsse; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::median_rmsse,not needed for direct display,true,true,Use governed artifact columns where available.
MAE,derivable from actual_value and forecast_value,data/processed/forecast_viewer_model_outputs.csv,actual_value; forecast_value; model_name; series_key; horizon; date,"yes, for dashboard diagnostics only",true if clearly labeled diagnostic and not official tournament metric,false,Do not promote derived diagnostics to governed tournament scoring.
RMSE,found directly in artifact,outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv,outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::median_rmse; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::mean_rmse,not needed for direct display,true,true,Use governed artifact columns where available.
sMAPE,found directly in artifact,outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::median_smape; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_smape; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::median_smape; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::mean_smape; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv::median_smape,not needed for direct display,true,true,Use governed artifact columns where available.
wMAPE,found directly in artifact,outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::median_wmape; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_wmape; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::median_wmape; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::mean_wmape; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv::median_wmape,not needed for direct display,true,true,Use governed artifact columns where available.
bias,found directly in artifact,outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv; outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv::median_bias; outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv::median_bias; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::median_bias; outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv::mean_bias; outputs/model_lab/challenger_aggregation_significance/challenger_aggregation_by_model.csv::median_bias,not needed for direct display,true,true,Use governed artifact columns where available.
pairwise_supported_better,found directly in artifact,outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::supported_better_count; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::supported_better_count; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::supported_better_count; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::supported_better_count,not needed for direct display,true,true,Use governed artifact columns where available.
pairwise_worse,found directly in artifact,outputs/model_lab/champion_decision/champion_candidate_evaluation.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::supported_worse_count; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv::supported_worse_count; outputs/model_lab/tournament_engine/tournament_preliminary_standings.csv::supported_worse_count; outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::supported_worse_count,not needed for direct display,true,true,Use governed artifact columns where available.
total_comparisons,found directly in artifact,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv; outputs/model_lab/tournament_engine/tournament_summary.csv,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv::comparisons_tested; outputs/model_lab/tournament_engine/tournament_summary.csv::pairwise_comparisons,not needed for direct display,true,true,Use governed artifact columns where available.
confidence,found directly in artifact,outputs/model_lab/champion_decision/champion_decision.csv; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv,outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::decision_confidence; outputs/model_lab/champion_decision/champion_decision.csv::decision_confidence,not needed for direct display,true,true,Use governed artifact columns where available.
champion flag,found directly in artifact,data/processed/forecast_viewer_model_outputs.csv; outputs/governance/6_2_decision_rules/governance_recommendations.csv; outputs/governance/6_3_champion_conditions/champion_conditions_protocol.csv; outputs/model_lab/challenger_metrics/challenger_metrics_summary.csv; outputs/model_lab/champion_decision/champion_candidate_evaluation.csv,data/processed/forecast_viewer_model_outputs.csv::is_selected_champion; outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv::eligible_for_champion; outputs/model_lab/model_lab_closure_pack/model_lab_final_model_universe.csv::selected_champion; outputs/model_lab/model_lab_closure_pack/model_lab_champion_summary.csv::selected_champion_model; outputs/model_lab/champion_decision/champion_decision.csv::selected_champion_model; outputs/model_lab/champion_decision/champion_decision.csv::selected_champion_origin; outputs/model_lab/champion_decision/champion_decision.csv::selected_champion_family; outputs/model_lab/champion_decision/champion_decision.csv::no_champion_reason,not needed for direct display,true,true,Use governed artifact columns where available.
