"area","feature","previous_behavior","current_v6_behavior","classification","user_impact","artifact_impact","requires_recalculation","recommendation","notes"
"Viewer","Selection navigation","Generic Key/Series dropdown over 39 distinct entities","Conditional metadata-driven selection over 596 route x key cases across 391 distinct entities and 6 routes","IMPROVED_IN_V6","HIGH","Reads V6.17 Parquet","NO","Keep","Owner accepted."
"Viewer","Model selection","15 models grouped by family","15 models grouped by family, always visible even when route unavailable","IMPROVED_IN_V6","MEDIUM","None","NO","Keep","Restored during V6.18 polish pass 2."
"Viewer","Horizon","5-30 days with disabled 35/45 chips","Unchanged","PRESERVED","LOW","None","NO","Keep",""
"Viewer","History window","Present","Present, reset to default by Reset Selection","PRESERVED","LOW","None","NO","Keep",""
"Viewer","Backtest chart","Actual plus selected model lines","Same, on the larger prepared universe","PRESERVED","HIGH","Reads Parquet","NO","Keep",""
"Viewer","Row download","Not present in the legacy pilot UI","Downloads analyzed rows as CSV generated in-session","IMPROVED_IN_V6","MEDIUM","Writes a temporary CSV only","NO","Keep","Not part of the governed registry downloads."
"Viewer","LLM assistant panel","llm_explain_ui in tabs.R line 513","Present at tabs_v6_16_viewer.R line 168","PRESERVED","MEDIUM","None","NO","Keep",""
"Forecast","Selection navigation","Generic Key/Series dropdown","Conditional selection over 896 entities and 8 routes","IMPROVED_IN_V6","HIGH","Reads V6.17 Parquet","NO","Keep","Owner accepted."
"Forecast","Page structure","Single setup block","Data Selection, Forecast Configuration, Forecast Results","IMPROVED_IN_V6","HIGH","None","NO","Keep","Added in V6.18 polish pass 3."
"Forecast","Forecast start boundary","Not explicitly labelled","Mandatory dashed boundary derived from the first prepared forecast date","IMPROVED_IN_V6","HIGH","None","NO","Keep","Validated on HDD and SSD-Phoenix."
"Forecast","Prediction intervals","Not rendered","Rendered only when prepared bounds exist; absence reported honestly","IMPROVED_IN_V6","MEDIUM","Depends on artifact columns","NO","Keep","Current forward artifact has no interval columns."
"Forecast","Forecast-only routes","Not represented","SSD-Phoenix supported without fabricated actuals","IMPROVED_IN_V6","HIGH","None","NO","Keep",""
"Forecast","Data notes","Short note line","Full route, model, version, boundary, windows, counts, range, interval and artifact","IMPROVED_IN_V6","MEDIUM","None","NO","Keep",""
"Forecast","LLM assistant panel","llm_explain_ui called at tabs.R line 673","Absent from the live section_forecast in tabs_v6_16_viewer.R while server.R line 552 still registers llm_forecasting_forecast","LOST_FROM_PREVIOUS_V6","HIGH","None","NO","Recover before product closure","Orphaned server module with no UI mount point."
"Accuracy","Data source","load_csv_artifact forecast_viewer_full from data/processed/forecast_viewer_model_outputs.csv","Unchanged; still the legacy CSV","PRESERVED_BUT_MISALIGNED","HIGH","Legacy CSV only","OWNER_DECISION_REQUIRED","Owner must choose target source","Accuracy 204300 rows / 39 distinct entities versus Viewer 2416050 rows / 596 route x key cases across 391 distinct entities."
"Accuracy","Series coverage","39 distinct entities","39 distinct entities","PRESERVED","HIGH","Legacy CSV","OWNER_DECISION_REQUIRED","Decide before generation","Roughly 10 percent of the 391 distinct Viewer entities."
"Accuracy","Metrics and heatmap","MAE, RMSE, sMAPE, wMAPE, bias, variability","Unchanged","PRESERVED","MEDIUM","Legacy CSV","NO","Keep engine","Only the input universe is in question."
"Accuracy","LLM assistant panel","llm_explain_ui at tabs.R line 882","Still live because section_accuracy is not shadowed","PRESERVED","LOW","None","NO","Keep",""
"TTL","Snapshot and timeseries","ttl_provider reads two legacy CSV artifacts","Unchanged","PRESERVED","MEDIUM","Legacy CSV","NO","Keep for now","Not connected to the V6.17 universe."
"TTL","LLM assistant panel","llm_explain_ui at tabs.R line 1069","Still live","PRESERVED","LOW","None","NO","Keep",""
"LLM panels","Registration coverage","10 servers with 10 live UI mounts","10 servers registered, 9 live UI mounts","LOST_FROM_PREVIOUS_V6","MEDIUM","None","NO","Recover the Forecast mount","Only llm_forecasting_forecast is orphaned."
"Downloads","Governed artifact downloads","8 specs in ARTIFACT_DOWNLOAD_SPECS, all CSV registry keys","Unchanged","PRESERVED","MEDIUM","Legacy CSV registry","NO","Keep","None of the 8 specs points at forecast_viewer_full."
"Artifact registry","Format coverage","43 entries, 40 CSV, 0 Parquet","Unchanged","PRESERVED_BUT_MISALIGNED","MEDIUM","Registry has no Parquet awareness","OWNER_DECISION_REQUIRED","Extend the registry before Parquet-only","Viewer and Forecast Parquet are read outside the registry."
"Data loader","Missing-artifact behavior","Fail soft; returns an empty data.frame","Unchanged","PRESERVED","MEDIUM","None","NO","Keep","Pages degrade silently."
"Providers","Missing-artifact behavior","Not applicable in V5","viewer_pilot 9 stop calls, forecast_pilot 5, taxonomy_navigation 4","IMPROVED_IN_V6","MEDIUM","None","NO","Normalize messaging","Fail fast is correct for governance but is inconsistent with the loader."
"Legacy server code","Old Viewer and Forecast blocks","Active in V5","Present but disabled with if (FALSE)","INTENTIONALLY_REMOVED","NONE","None","NO","Remove after closure","Dead code retained as evidence."
"Legacy UI code","tabs.R section_explorer and section_forecast","Active in V5","Shadowed by tabs_v6_16_viewer.R","INTENTIONALLY_REMOVED","NONE","None","NO","Remove after closure","Editing tabs.R has no visible effect."
"Scenario resolver","scenario_resolver.R","Not present in V5","Present but never sourced","SAFE_TO_DEFER","NONE","None","NO","Leave unwired","Deliberate decision since R7."
