script_path,script_purpose,models_referenced,models_executed,outputs_created,entrypoint_status,is_current_daily_candidate,contains_prohibited_models,prohibited_models_found,notes
python/model_lab/run_full_baseline_execution.py,Stage 5.10 baseline production runner (executes BaselineProduction models across all series),"ARIMA_Fixed | ETS_Current | LinearRegression | FixedGrowth_1_5 | FixedGrowth_3 | FixedGrowth_4 | FixedGrowth_6","ARIMA_Fixed | ETS_Current | LinearRegression | FixedGrowth_1_5 | FixedGrowth_3 | FixedGrowth_4 | FixedGrowth_6",outputs/model_lab/full_baseline/full_baseline_forecasts.csv + _execution_status.csv + _summary.csv,working_runner,TRUE,NO,,Clean: 7 baseline models only. Has len(baseline_jobs)!=3178 guard. Produces 7 of the 12 governed models. SAFE for daily.
python/model_lab/run_challenger_official_execution.py,Stage 5.28+ official challenger execution (statistical/ML/DL challengers),"AutoARIMA | Theta | ETS Explicit | LightGBM | XGBoost | NBEATS | NHITS","AutoARIMA | Theta | ETS Explicit | LightGBM | XGBoost | NBEATS (NHITS deferred/skipped)",outputs/model_lab/challenger_official_execution/* (+ _checkpoint_*),working_runner_NEEDS_FIX,TRUE_IF_NBEATS_REMOVED,YES,NBEATS | NHITS,"APPROVED_MODELS lines 43-50 INCLUDES NBEATS (line 49); DEFERRED_MODEL='NHITS' (line 51). THIS IS THE BUG that ran NBEATS in V3.3B. Produces the 5 governed challengers (AutoARIMA/Theta/ETS Explicit/LightGBM/XGBoost) needed for daily, but bundles prohibited NBEATS."
python/model_lab/run_challenger_official_execution_recovery.py,Recovery/resume variant of official challenger execution,inherits APPROVED_MODELS (incl NBEATS),same as parent (resume),outputs/model_lab/challenger_official_execution/*,recovery_runner,NO,YES,NBEATS | NHITS,Recovery wrapper; inherits same prohibited model set as run_challenger_official_execution.py
python/model_lab/training_orchestrator.py,Plans training jobs only (does NOT execute models),"ARIMA_Fixed | AutoARIMA | ETS | ETS_Current | FixedGrowth_1_5 | FixedGrowth_3 | FixedGrowth_4 | FixedGrowth_6 | LightGBM | LinearRegression | NBEATS | NHITS | Theta | XGBoost (14 registered)",NONE (planner only),outputs/model_lab/training_job_plan.csv (job plan),planner_only,NO,YES,NBEATS | NHITS,"Planning only; enumerates all 14 registered models incl NBEATS/NHITS. Does not train. Plan written 6356 jobs on fresh data."
python/model_lab/models/model_registry.py,Central registry of supported Model Lab model classes,"ARIMA_Fixed | ETS_Current | LinearRegression | FixedGrowth_1_5/3/4/6 | AutoARIMA | Theta | ETS Explicit | LightGBM | XGBoost | NBEATS | NHITS (14 classes)",NONE (registry),in-memory MODEL_REGISTRY dict,registry,N/A,YES,NBEATS | NHITS,"Registers 14 model classes including NBEATSModel + NHITSModel (lines 18-19 import, 67-68 register). Does NOT contain FNAR-V2/NLIN-DLIN_FIXED/SMLP-TCN. Source of truth for live-trainable models."
python/model_lab/run_baseline_models.py,Earlier/alternate baseline model runner,baseline models,baseline models,baseline outputs,legacy_alt_runner,NO,NO,,Superseded by run_full_baseline_execution.py; verify before reuse
python/model_lab/build_challenger_execution_plan.py,Builds challenger execution plan (planning metadata),"NBEATS | NHITS (deep_learning low priority) + statistical/ML challengers",NONE (planner),challenger execution plan CSV,planner_only,NO,YES,NBEATS | NHITS,"Lines 53-54 list NBEATS/NHITS as deep_learning low priority. Planning metadata only."
python/model_lab/build_challenger_onboarding.py,Challenger onboarding metadata builder,"NBEATS | NHITS (deep_learning challengers) + others",NONE,onboarding metadata CSV,planner_only,NO,YES,NBEATS | NHITS,Line 606 'Deep learning challengers: (NBEATS, NHITS)'. Metadata only.
python/model_lab/build_tournament_engine.py,Builds governed tournament scorecard from challenger+baseline outputs,governed 12 models,NONE (aggregator),outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,aggregator,TRUE,UNKNOWN,,Aggregates official medians for the 12 governed models. Feeds canonical universe + champion decision.
python/model_lab/build_champion_decision.py,Builds champion candidate evaluation + decision,governed 12 + candidate eval,NONE (decision),outputs/model_lab/champion_decision/champion_candidate_evaluation.csv,decision_builder,TRUE,UNKNOWN,,_build_candidate_evaluation() (line 91). Selects champion (ETS Explicit). Does not train.
python/model_lab/build_forecast_viewer_handoff.py,Builds Forecast Viewer handoff dataset,governed + 3 DL challengers (display),NONE (handoff),data/processed/forecast_viewer_model_outputs.csv,handoff_builder,TRUE,UNKNOWN,,Maps SMLP-TCN/NLIN-DLIN_FIXED/FNAR-V2 to display; drops legacy FastNeuralAR_MLP rows (per v3_2g report)
outputs/v3_2h_model_consistency_fix/build_canonical_universe.R,Builds SINGLE canonical 15-model universe (4 families) by AGGREGATING closed artifacts,"12 governed (scorecard) + 3 DL (SMLP-TCN | NLIN-DLIN_FIXED | FNAR-V2)",NONE (aggregator - runs no model/backtest),data/processed/model_universe_canonical.csv (15 rows) + v3_2h_data_checks.csv,aggregator,TRUE,NO,,"AUTHORITATIVE 15-model definition. Reads tournament_model_scorecard.csv (12 governed minus FastNeuralAR_MLP) + full_candidate_outputs.csv (3 DL frozen). RETIRES FastNeuralAR_MLP. Champion ETS Explicit unchanged. Runs nothing."
outputs/v3_2b_model_candidates/candidate_outputs/full_candidate_outputs.csv,Frozen output of closed V3.2B/D/E candidate study (DATA not script),"SMLP-TCN | NLIN-DLIN_FIXED | FNAR-V2",N/A (frozen data),this CSV (per-series mase/rmsse),frozen_artifact,N/A,NO,,"ONLY source of the 3 active DL models. NO live training script exists for these in current codebase. Generating code from the closed candidate study is NOT present in model_lab runners."
