artifact_name,current_path,generated_by_script,consumed_by_shiny_page,model_scope,is_governed,is_experimental,rows_fastneuralar,recommended_future_path,notes
run_challenger_official_execution_recovery.py,python/model_lab/run_challenger_official_execution_recovery.py,self (code),none,FastNeuralAR_MLP definition,yes,no,na,unchanged,Governed producer of FastNeuralAR forecasts; _fit_fast_neural/_forecast_fast_neural lines 185-245
run_backtest_60d.py,python/model_lab/run_backtest_60d.py,self (code),none,FastNeuralAR_MLP (60d harness),yes,no,na,unchanged,Mirror of same MLP implementation lines 165-203
forecast_models_registry.R,MassiveForecasting-V3/forecast_models_registry.R,self (code),legacy engine,does NOT define FastNeuralAR,yes,no,0,unchanged,FastNeuralAR is Python-only; not in R registry
challenger_official_forecasts.csv,outputs/model_lab/challenger_official_execution/challenger_official_forecasts.csv,run_challenger_official_execution_recovery.py,none (upstream),challengers incl FastNeuralAR,yes,no,13620,unchanged,Raw backtest forecasts h1-30 where FastNeuralAR predictions live
challenger_official_execution_summary.csv,outputs/model_lab/challenger_official_execution/challenger_official_execution_summary.csv,run_challenger_official_execution_recovery.py,none,execution status,yes,no,na,unchanged,Reports completion; no runtime/timeout error
tournament_model_scorecard.csv,outputs/model_lab/tournament_engine/tournament_model_scorecard.csv,tournament engine builder,Models Tournament + Universe,all models,yes,no,1,unchanged,FastNeuralAR official aggregate metrics row
tournament_model_evidence_summary.csv,outputs/model_lab/tournament_engine/tournament_model_evidence_summary.csv,tournament engine builder,Models Tournament,all models,yes,no,1,unchanged,Head-to-head 0/12/0 net -12
tournament_entity_model_scores.csv,outputs/model_lab/tournament_engine/tournament_entity_model_scores.csv,tournament engine builder,Models Champion,per-series x model,yes,no,39,unchanged,Per-series FastNeuralAR scores
challenger_metrics_by_model_diagnostic.csv,outputs/model_lab/challenger_metrics/challenger_metrics_by_model_diagnostic.csv,calculate_challenger_metrics.py,none (diagnostic),challengers,yes,no,1,unchanged,Diagnostic aggregate over 454 entity-window rows; negative_forecast_rows=55
forecast_viewer_model_outputs.csv,data/processed/forecast_viewer_model_outputs.csv,build_forecast_viewer_handoff.py,Forecasting Viewer + Accuracy,all 13 models incl FastNeuralAR,yes,no,present,unchanged,Consolidated backtest consumed by Shiny; new model only appears after promotion
forecasts.csv,data/processed/forecasts.csv,upstream ingest+transform,Forecasting Forecast,champion forward,yes,no,na,unchanged,Forward productive forecast; no candidate output here
NEW_candidate_raw_forecasts,(to be created in V3.2B),new candidate runner,none until promoted,new candidate,no,yes,na,outputs/v3_2b_model_candidates/,Experimental forecasts go here first NOT data/processed/
NEW_candidate_metrics_evidence,(to be created in V3.2B),candidate evaluation,none until promoted,new candidate,no,yes,na,outputs/v3_2b_model_candidates/,Backtest+runtime+stability comparison vs FastNeuralAR + champion
NEW_promoted_governed_artifact,(to be created after approval),handoff builder,Viewer/Accuracy/Tournament once approved,promoted candidate,yes (after promotion),no,na,outputs/model_lab/ then data/processed/,Only governed/promoted artifacts reach data/processed/
