action_id,action_name,action_category,definition,trigger_conditions,required_evidence,governance_treatment,dashboard_treatment,manual_review_required,terminal_or_transitional,created_timestamp
A-001,KEEP,model_pool,Retain model as an active governed model or reference.,Validated model with no severe unresolved risk.,"Closure universe, candidate evaluation, and scorecard status.",Keep in governed model universe.,May be displayed as an active model or reference.,False,transitional,2026-06-14T10:32:59
A-002,KEEP_WITH_CONDITIONS,champion_governance,Retain as selected champion only with explicitly visible conditions.,Champion decision is CHAMPION_SELECTED_WITH_CONDITIONS.,Champion decision and closure champion summary.,Preserve conditions and require monitoring.,"Show as conditional champion with medium confidence, not an unconditional winner.",False,transitional,2026-06-14T10:32:59
A-003,MONITOR,oversight,"Carry forward a condition, advisory, or model status for future review.","Medium confidence, audit advisory, sanity advisory, or active non-champion model.","Audit, sanity, risk register, or decision artifact.",Track without changing source evidence.,Surface if relevant to model interpretation.,False,transitional,2026-06-14T10:32:59
A-004,REVIEW,manual_review,Require human review before stronger operational claims are made.,Manual review flag or unresolved model risk.,Risk register or candidate readiness finding.,Keep visible and prevent silent upgrade.,Show review-needed language.,True,transitional,2026-06-14T10:32:59
A-005,REVIEW_INVESTIGATE,manual_review,Investigate likely implementation or behavior issue before future contender treatment.,"Extreme error, possible scale issue, or recursive collapse risk.",Risk register and audit/sanity findings.,Keep in history but do not treat as champion-safe.,Surface as high-risk investigation item.,True,transitional,2026-06-14T10:32:59
A-006,TEST_LATER,future_work,Reserve model concept for future testing in a more suitable environment.,Deferred due to runtime or dependency limitation.,Closure deferred model and risk records.,"Document as deferred future work, not discarded.",Show as deferred/future work if deferred models are displayed.,False,transitional,2026-06-14T10:32:59
A-007,DEFER,future_work,Exclude from current scored tournament and champion consideration while preserving rationale.,Model is deferred_runtime_impractical or deferred_dependency_blocked.,Model universe and deferred model records.,Do not score or compare in current champion decision.,Show deferral reason if shown.,False,transitional,2026-06-14T10:32:59
A-008,EXCLUDE_FROM_CHAMPION_CONSIDERATION,champion_governance,Prevent model from being treated as champion-eligible under current evidence.,"High unresolved risk, deferred status, or ineligible candidate status.","Candidate evaluation, risk register, or deferral record.",Keep visible but exclude from champion claims.,Explain exclusion reason if model is displayed.,True,transitional,2026-06-14T10:32:59
A-009,SURFACE_ON_DASHBOARD,dashboard_contract,"Require downstream dashboard to show a risk, condition, or caveat.","Active risk, condition, advisory, deferral, or governed correction.","Risk mapping, audit finding, or governance correction.",Carry the condition forward.,Display honestly; do not hide caveats.,False,transitional,2026-06-14T10:32:59
A-010,DO_NOT_PRESENT_AS_UNCONDITIONAL_WINNER,dashboard_contract,Forbid language that upgrades a conditional champion into an absolute winner.,Champion decision is conditional or confidence is not high.,Champion decision and governance definitions.,Use conditional champion language only.,Say conditional champion / medium confidence.,False,transitional,2026-06-14T10:32:59
A-011,BENCHMARK_REFERENCE,model_pool,Retain non-champion baseline as a benchmark comparison reference.,Baseline model remains valid but was not selected champion.,Final model universe and champion decision.,"Use as baseline context, not champion.",May appear in baseline scorecards and comparisons.,False,transitional,2026-06-14T10:32:59
A-012,MODEL_POOL_REFERENCE,model_pool,Retain non-champion challenger as a governed model-pool reference.,Challenger model remains valid but was not selected champion.,Final model universe and champion decision.,"Use as challenger context, not champion.",May appear in challenger scorecards and comparisons.,False,transitional,2026-06-14T10:32:59
