query_id,metric,object_name,purpose,query_type,started_at,status,row_count_returned,duration_seconds,notes
Q001,ALL,sys.objects,Enumerate every user table and view in TesseractEarthDW,metadata,RECONSTRUCTED,OK,1214,12.0,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q002,ALL,INFORMATION_SCHEMA.COLUMNS,Column metadata for Demand_* views and *_actual*/History tables,metadata,RECONSTRUCTED,OK,452,10.09,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q003,CPU,vw_SubstrateBE_Demand_Cpu_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,5,64.31,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q004,CPU,vw_SubstrateBE_Demand_Cpu_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,2,16.5,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q005,CPU,vw_SubstrateBE_Demand_CpuPhoenix_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,5,29.33,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q006,CPU,vw_SubstrateBE_Demand_CpuPhoenix_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,2,3.37,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q007,HDD,vw_SubstrateBE_Demand_HddEdbEnterprise_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,5,10.88,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q008,HDD,vw_SubstrateBE_Demand_HddEdbEnterprise_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,1,4.18,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q009,HDD,vw_SubstrateBE_Demand_HddBasilisk_Region,TOP 5 sample to infer column semantics,sample,RECONSTRUCTED,OK,0,0.18,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
Q010,HDD,vw_SubstrateBE_Demand_HddBasilisk_Region,Distinct DemandType vocabulary,vocabulary,RECONSTRUCTED,OK,0,0.31,"Restored after an operational error in P1B truncated the ledger. Status, row count and duration are the real observed values from the step script console output; the wall clock timestamp was not recoverable. Query results are intact in _stepA.._stepI JSON."
